state,year,highway,gsp,totpub,pvtcap,area,roway,tcapo,tmant,capui,capul,caput,mntui,mntul,mntut,capri,caprl,caprt,mntri,mntrl,mntrt,capti,captl,captt,mntti,mnttl,mnttt,milri,milrl,milrt,milui,miluf,milul,milut,miltt,umilgt4,umille4,rmilgt4,rmille4,rpassveh,rtusing,rtrucom,upassveh,utrusing,utrucomb,alaska,newyork,californ,sotheas,midwest,mortheas,vmtri,vmtrl,vmtrt,vmtui,vmtuf,vmtul,vmtut,cstatmh,cstadmrd,cfedroad,ctal,mstadmh,mladmrd,mredroad,mtal,adm_misc,law_safe,interest,bondret,tdisb,pgsal93,pgsal94,pbcon93,pexcav93,prestl93,pststl93,pstcon93,pop90,sqmiles,popdens,bondrate,locshr97,statenam
MO,1988.0,11494.67,77844.0,24607.52,75102.29,69709.0,24073000.0,537000000.0,424000000.0,77983.0,107018.0,185001.0,22339.0,13394.0,35733.0,60904.0,254227.0,315131.0,16829.0,103110.0,119939.0,138887.0,361245.0,500132.0,39168.0,116504.0,155672.0,812.0,104825.0,105637.0,366.0,276.0,15508.0,16150.0,121787.0,210.0,156.0,5.0,807.0,63.7,12.0,24.3,80.2,14.6,5.2,0.0,0.0,0.0,0.0,1.0,0.0,5504.0,19464.0,24968.0,8497.0,2326.0,17463.0,28286.0,464531.0,199354.0,1342.0,665227.0,210439.0,222712.0,8.0,433159.0,177283.0,124228.0,11715.0,19421.0,1431033.0,24807.0,25475.0,23.54,2.57,0.606,0.771,317.83,5158.0,69709.0,73.99332,AAA,0.7292106,Missouri
MT,1988.0,4165.41,10336.0,6209.03,19331.31,147046.0,12105000.0,236000000.0,75017000.0,4706.0,35328.0,40034.0,485.0,2123.0,2608.0,33598.0,116717.0,150315.0,3520.0,12273.0,15793.0,38304.0,152045.0,190349.0,4005.0,14396.0,18401.0,1137.0,66251.0,67388.0,53.0,0.0,2327.0,2380.0,69768.0,0.0,53.0,0.0,1137.0,53.1,31.6,15.3,67.5,22.9,9.6,0.0,0.0,0.0,0.0,0.0,0.0,1928.0,4574.0,6502.0,184.0,0.0,1839.0,2023.0,191070.0,57652.0,9217.0,257939.0,42087.0,21356.0,4178.0,67621.0,16843.0,19424.0,13958.0,1723.0,377508.0,23744.0,24180.0,23.74,3.21,0.513,0.655,238.51,808.0,147046.0,5.4948792,AA,0.6836273,Montana
NE,1988.0,5423.15,23621.0,14873.69,29966.97,77358.0,9036000.0,289000000.0,160000000.0,25688.0,33785.0,59473.0,469.0,7711.0,8180.0,35102.0,177951.0,213053.0,3277.0,25251.0,28528.0,60790.0,211736.0,272526.0,3746.0,32962.0,36708.0,437.0,87211.0,87648.0,44.0,11.0,4999.0,5054.0,92702.0,11.0,33.0,0.0,437.0,50.3,23.6,26.1,68.8,25.5,5.7,0.0,0.0,0.0,0.0,1.0,0.0,1994.0,6966.0,8960.0,734.0,93.0,4834.0,5661.0,244117.0,192494.0,34598.0,471209.0,51993.0,126578.0,444.0,179015.0,43639.0,42934.0,15349.0,27120.0,779266.0,23214.0,23698.0,22.21,2.03,0.781,0.635,304.88,1593.0,77355.0,20.593369,X,0.88750255,Nebraska
NV,1988.0,2782.09,19384.0,6537.47,25760.58,110567.0,12154000.0,188000000.0,76017000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,40701.0,41181.0,65.0,32.0,4500.0,4597.0,45778.0,20.0,45.0,0.0,480.0,59.5,14.3,26.2,811.0,13.2,5.7,0.0,0.0,0.0,0.0,0.0,0.0,1522.0,2957.0,4479.0,1147.0,579.0,4692.0,6418.0,168487.0,10557.0,2640.0,181684.0,58785.0,14637.0,1048.0,74470.0,23360.0,24049.0,12962.0,16786.0,333311.0,30929.0,31617.0,20.67,3.33,0.478,0.994,236.94,1284.0,110567.0,11.612868,AA,0.60408235,Nevada
NH,1988.0,2401.79,20324.0,4541.76,13374.03,9351.0,12158000.0,117000000.0,146000000.0,12430.0,58654.0,71084.0,555.0,9422.0,9977.0,39037.0,61431.0,100468.0,3699.0,44484.0,48183.0,51467.0,120085.0,171552.0,4254.0,53906.0,58160.0,176.0,11893.0,12069.0,48.0,40.0,2781.0,2869.0,14938.0,13.0,35.0,21.0,155.0,74.5,21.8,3.7,69.3,27.0,3.7,0.0,0.0,0.0,0.0,0.0,1.0,1330.0,5025.0,6355.0,712.0,448.0,2552.0,3712.0,86815.0,37694.0,0.0,124509.0,98469.0,66752.0,106.0,165327.0,96270.0,46005.0,21722.0,4533.0,458366.0,26304.0,27116.0,26.4,3.09,0.482,1.115,209.89,1105.0,9351.0,118.16918,AA,0.7254332,New Hampshire
NJ,1988.0,15409.0,155077.0,37458.49,111049.0,8722.0,70674000.0,691000000.0,537000000.0,498494.0,436924.0,935418.0,38105.0,129416.0,167521.0,10398.0,95880.0,106278.0,4801.0,25387.0,30188.0,508892.0,532804.0,1041696.0,42906.0,154803.0,197709.0,113.0,10955.0,11068.0,300.0,306.0,23423.0,24029.0,35097.0,246.0,54.0,56.0,57.0,72.5,16.3,11.2,74.4,17.7,7.9,0.0,0.0,0.0,0.0,0.0,1.0,2124.0,9726.0,11850.0,8110.0,5734.0,33716.0,47560.0,1250419.0,100871.0,0.0,1351290.0,358862.0,342765.0,0.0,701627.0,381121.0,254093.0,238792.0,220850.0,3147773.0,35532.0,37039.0,27.28,7.11,0.75,1.175,320.62,7760.0,8722.0,889.7042,AA1,0.9079343,New Jersey
NM,1988.0,4388.96,21618.0,9192.05,29698.23,121598.0,15861000.0,258000000.0,111000000.0,27850.0,49279.0,77129.0,0.0,0.0,0.0,63130.0,176558.0,239688.0,0.0,0.0,0.0,90980.0,225837.0,316817.0,0.0,0.0,52572.0,907.0,54054.0,54961.0,91.0,3.0,5757.0,5851.0,60812.0,26.0,65.0,10.0,897.0,63.6,15.3,21.1,66.0,14.7,19.3,0.0,0.0,0.0,0.0,0.0,0.0,3659.0,7989.0,11648.0,1202.0,2.0,5600.0,6804.0,245616.0,38902.0,6033.0,290551.0,63812.0,38326.0,5674.0,107812.0,65312.0,26275.0,2532.0,2014.0,494496.0,25083.0,26013.0,22.47,2.68,0.592,2.241,298.37,1548.0,121598.0,12.730473,AA1,0.6829584,New Mexico
NY,1988.0,37413.16,334914.0,136677.7,234991.6,54475.0,26813000.0,2000000000.0,1740000000.0,659716.0,1156753.0,1816469.0,6566.0,139131.0,145697.0,308954.0,79800.0,388754.0,104087.0,37561.0,141648.0,968670.0,1236553.0,2205223.0,110653.0,176692.0,287345.0,797.0,71792.0,72589.0,703.0,857.0,37733.0,39293.0,111882.0,385.0,318.0,52.0,745.0,69.5,16.3,14.2,77.4,17.2,5.4,0.0,1.0,0.0,0.0,0.0,1.0,5381.0,24961.0,30342.0,14475.0,14327.0,50737.0,79539.0,1172069.0,1220310.0,176.0,2392555.0,606776.0,1839465.0,200.0,2446441.0,616785.0,283252.0,586457.0,409463.0,6734953.0,33575.0,34776.0,29.27,4.76,0.727,0.978,426.54,18058.0,54475.0,331.49152,A,0.85443634,New York
NC,1988.0,10338.95,96632.0,27589.03,92268.96,53821.0,78438000.0,648000000.0,451000000.0,64284.0,356506.0,420790.0,2913.0,285614.0,288527.0,95113.0,304887.0,400000.0,8739.0,86962.0,95701.0,159397.0,661393.0,820790.0,11652.0,372576.0,384228.0,633.0,73672.0,74305.0,337.0,260.0,21126.0,21723.0,96028.0,87.0,250.0,18.0,615.0,70.9,7.1,22.0,74.5,14.3,11.2,0.0,0.0,0.0,1.0,0.0,0.0,6237.0,27529.0,33766.0,6050.0,2464.0,25258.0,33772.0,772594.0,127328.0,10329.0,910251.0,362139.0,86571.0,1044.0,449754.0,127094.0,203642.0,28870.0,17703.0,1737314.0,24581.0,25105.0,25.82,1.92,0.448,0.826,250.09,6737.0,53821.0,125.17419,AAA,0.17727639,North Carolina
ND,1988.0,3129.3,8601.0,5019.72,20859.28,70704.0,1181000.0,144000000.0,89492000.0,12595.0,38445.0,51040.0,244.0,1285.0,1529.0,19318.0,52728.0,72046.0,3279.0,25233.0,28512.0,31913.0,91173.0,123086.0,3523.0,26518.0,30041.0,531.0,84378.0,84909.0,40.0,0.0,1778.0,1818.0,86727.0,3.0,37.0,0.0,531.0,64.6,21.1,14.3,73.3,19.6,7.1,0.0,0.0,0.0,0.0,0.0,0.0,1012.0,3485.0,4497.0,188.0,0.0,1387.0,1575.0,93070.0,45587.0,15.0,138672.0,34178.0,50244.0,2185.0,86607.0,20627.0,15228.0,6931.0,13499.0,281564.0,21716.0,22248.0,53.34,1.02,0.581,2.157,328.51,635.0,70704.0,8.981104,AA,0.905188,North Dakota
OH,1988.0,23735.85,170707.0,56826.91,152935.7,44828.0,29341000.0,1030000000.0,693000000.0,221034.0,317734.0,538768.0,18514.0,67884.0,86398.0,87218.0,196244.0,283462.0,27324.0,285261.0,312585.0,308252.0,513978.0,822230.0,45838.0,353145.0,398983.0,847.0,81408.0,82255.0,726.0,381.0,30461.0,31568.0,113823.0,212.0,514.0,15.0,832.0,67.2,12.6,20.2,79.7,12.2,8.1,0.0,0.0,0.0,0.0,1.0,0.0,8276.0,29153.0,37429.0,15929.0,3608.0,38255.0,57792.0,679950.0,401989.0,211.0,1082150.0,460687.0,504058.0,23.0,964768.0,335689.0,213155.0,51708.0,109564.0,2757034.0,27157.0,27951.0,22.5,3.66,0.467,0.704,269.34,10939.0,44828.0,244.02159,AA,0.8190838,Ohio
OK,1988.0,6698.98,45128.0,16765.62,64872.43,69903.0,9097000.0,453000000.0,270000000.0,49705.0,155221.0,204926.0,2411.0,5119.0,7530.0,13592.0,114963.0,128555.0,3148.0,74386.0,77534.0,63297.0,270184.0,333481.0,5559.0,79505.0,85064.0,715.0,98958.0,99673.0,214.0,136.0,12444.0,12794.0,112467.0,72.0,142.0,0.0,715.0,62.8,18.0,19.2,69.1,25.5,5.4,0.0,0.0,0.0,0.0,0.0,0.0,3705.0,13662.0,17367.0,3365.0,1831.0,12556.0,17752.0,320609.0,113422.0,4000.0,438031.0,88492.0,117914.0,17.0,206423.0,191811.0,41384.0,56248.0,85638.0,1019535.0,23145.0,23594.0,27.52,2.16,0.467,1.126,213.21,3175.0,69903.0,45.420082,AA,0.883402,Oklahoma
OR,1988.0,6837.71,39101.0,16140.43,40897.2,98386.0,22951000.0,427000000.0,244000000.0,20270.0,141847.0,162117.0,9788.0,49226.0,59014.0,36947.0,118079.0,155026.0,18564.0,59139.0,77703.0,57217.0,259926.0,317143.0,28352.0,108365.0,136717.0,581.0,85427.0,86008.0,146.0,53.0,9829.0,10028.0,96036.0,58.0,88.0,21.0,560.0,54.3,29.5,16.2,65.5,28.9,5.6,0.0,0.0,0.0,0.0,0.0,0.0,3812.0,11724.0,15536.0,2966.0,971.0,8453.0,12390.0,335881.0,201205.0,10798.0,547884.0,120773.0,168155.0,7523.0,296451.0,64501.0,73433.0,14067.0,24162.0,1020498.0,27778.0,28609.0,27.54,7.14,0.456,0.665,252.68,2922.0,98386.0,29.699348,AA,0.51618266,Oregon
PA,1988.0,24206.95,177793.0,59912.6,162151.9,46058.0,62654000.0,1500000000.0,1080000000.0,315428.0,409182.0,724610.0,12640.0,342892.0,355532.0,295404.0,265133.0,560537.0,43941.0,124571.0,168512.0,610832.0,674315.0,1285147.0,56581.0,467463.0,524044.0,1079.0,83343.0,84422.0,509.0,485.0,31622.0,32616.0,117038.0,111.0,398.0,18.0,1061.0,60.5,16.5,23.0,73.8,16.2,10.0,0.0,0.0,0.0,0.0,0.0,1.0,7381.0,29968.0,37349.0,8839.0,4656.0,38356.0,51851.0,1223271.0,125258.0,268.0,1348797.0,764351.0,744656.0,85.0,1509092.0,152494.0,443935.0,190151.0,225189.0,3869658.0,29870.0,30653.0,30.46,3.7,0.634,0.998,317.11,11961.0,46058.0,259.6943,A1,0.6218165,Pennsylvania
RI,1988.0,1980.89,14517.0,4332.13,9424.25,1545.0,5917000.0,168000000.0,26137000.0,24216.0,172300.0,196516.0,4785.0,16366.0,21151.0,4734.0,20313.0,25047.0,2051.0,4680.0,6731.0,28950.0,192613.0,221563.0,6836.0,21046.0,27882.0,21.0,1313.0,1334.0,49.0,68.0,4606.0,4723.0,6057.0,33.0,16.0,0.0,21.0,74.8,16.9,8.3,79.9,14.0,6.1,0.0,0.0,0.0,0.0,0.0,1.0,278.0,851.0,1129.0,1407.0,601.0,4422.0,6430.0,136323.0,4040.0,0.0,140363.0,23710.0,17136.0,6.0,40852.0,9798.0,28023.0,14684.0,19770.0,253490.0,31024.0,31778.0,31.17,3.35,0.483,0.885,247.97,1004.0,1545.0,649.8382,A1,0.7981088,Rhode Island
SC,1988.0,4777.93,44895.0,14869.23,52312.05,32007.0,18495000.0,335000000.0,195000000.0,32565.0,150992.0,183557.0,85.0,111198.0,111283.0,25330.0,198089.0,223419.0,0.0,15895.0,15895.0,57895.0,349081.0,406976.0,85.0,127093.0,127178.0,668.0,52969.0,53637.0,142.0,70.0,10309.0,10521.0,64158.0,51.0,91.0,16.0,652.0,70.6,10.6,18.8,76.6,12.1,11.3,0.0,0.0,0.0,1.0,0.0,0.0,5945.0,15168.0,21113.0,2427.0,589.0,10920.0,13936.0,332967.0,31128.0,28.0,364123.0,156266.0,43893.0,40.0,200199.0,52696.0,86404.0,917.0,824.0,705163.0,24142.0,24336.0,24.89,2.66,0.443,0.851,218.8,3560.0,32007.0,111.22567,AAA,0.34066662,South Carolina
SD,1988.0,3227.74,8284.0,5421.95,11763.85,77121.0,2352000.0,173000000.0,89132000.0,8696.0,46384.0,55080.0,648.0,1537.0,2185.0,22248.0,111723.0,133971.0,5088.0,24580.0,29668.0,30944.0,158107.0,189051.0,5736.0,26117.0,31853.0,631.0,80814.0,81445.0,47.0,3.0,1810.0,1860.0,83305.0,0.0,47.0,0.0,631.0,72.9,16.4,10.7,80.6,16.9,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1354.0,4324.0,5678.0,229.0,17.0,1294.0,1540.0,159816.0,68946.0,1516.0,230278.0,33371.0,68300.0,3757.0,105428.0,21403.0,30636.0,843.0,1813.0,390401.0,21562.0,22336.0,12.8,1.22,0.47,0.47,204.59,703.0,77121.0,9.115545,X,0.88196844,South Dakota
TN,1988.0,11110.42,72003.0,26911.07,71707.9,42146.0,38611000.0,724000000.0,352000000.0,79292.0,109327.0,188619.0,18005.0,27009.0,45014.0,37419.0,343240.0,380659.0,27008.0,108025.0,135033.0,116711.0,452567.0,569278.0,45013.0,135034.0,180047.0,740.0,67776.0,68516.0,322.0,114.0,16085.0,16521.0,85037.0,141.0,181.0,25.0,715.0,65.0,13.9,21.1,69.9,20.5,9.6,0.0,0.0,0.0,1.0,0.0,0.0,6603.0,15998.0,22601.0,6473.0,871.0,20049.0,27393.0,613158.0,106790.0,5777.0,725725.0,192392.0,225319.0,70.0,417781.0,84136.0,59239.0,6057.0,16894.0,1309832.0,24812.0,25975.0,22.78,1.93,0.443,0.834,220.25,4953.0,42146.0,117.52005,AAA,0.83149475,Tennessee
TX,1988.0,36718.22,289009.0,94351.33,369738.5,268601.0,143000000.0,2980000000.0,1180000000.0,299955.0,715039.0,1014994.0,34146.0,107606.0,141752.0,156428.0,807390.0,963818.0,162540.0,355502.0,518042.0,456383.0,1522429.0,1978812.0,196686.0,463108.0,659794.0,2203.0,212807.0,215010.0,1031.0,1212.0,76889.0,79132.0,294142.0,555.0,476.0,45.0,2158.0,60.5,20.4,19.1,73.2,19.8,7.0,0.0,0.0,0.0,1.0,0.0,0.0,12612.0,44556.0,57168.0,23998.0,15234.0,66929.0,106161.0,1701015.0,578592.0,3282.0,2282889.0,564131.0,898897.0,67.0,1463095.0,473048.0,804375.0,351868.0,246617.0,5621892.0,24957.0,25297.0,31.76,2.66,0.322,0.748,221.41,17349.0,268601.0,64.590225,AA,0.73039025,Texas
UT,1988.0,4317.48,22374.0,12235.57,23711.81,84904.0,2650000.0,269000000.0,120000000.0,47041.0,69962.0,117003.0,13300.0,11140.0,24440.0,36446.0,77545.0,113991.0,12500.0,20560.0,33060.0,83487.0,147507.0,230994.0,25800.0,31700.0,57500.0,769.0,33633.0,34402.0,168.0,9.0,5929.0,6106.0,40508.0,111.0,57.0,17.0,752.0,60.6,21.6,17.8,73.6,20.7,5.7,0.0,0.0,0.0,0.0,0.0,0.0,2309.0,3633.0,5942.0,3321.0,90.0,6954.0,10365.0,182428.0,68600.0,5782.0,256810.0,59893.0,72110.0,1471.0,133474.0,40831.0,33745.0,0.0,0.0,464860.0,24221.0,25060.0,24.44,2.63,0.466,1.481,208.36,1770.0,84904.0,20.847075,AAA,0.6942053,Utah
VT,1988.0,1819.61,8834.0,2951.11,7667.97,9615.0,2032000.0,82864000.0,83575000.0,1240.0,46248.0,47488.0,195.0,743.0,938.0,13511.0,48863.0,62374.0,1432.0,7378.0,8810.0,14751.0,95111.0,109862.0,1627.0,8121.0,9748.0,280.0,12562.0,12842.0,40.0,20.0,1264.0,1324.0,14166.0,0.0,40.0,0.0,280.0,80.1,14.8,5.1,79.7,16.0,4.3,0.0,0.0,0.0,0.0,0.0,1.0,1011.0,3304.0,4315.0,284.0,51.0,1369.0,1704.0,87148.0,36942.0,0.0,124090.0,36024.0,54112.0,15.0,90151.0,15067.0,21072.0,2015.0,5990.0,258385.0,24989.0,25253.0,32.83,2.13,0.491,0.82,263.2,567.0,9615.0,58.97036,AA,0.7927112,Vermont
VA,1988.0,14931.72,99942.0,29694.37,79632.23,42769.0,140000000.0,1110000000.0,602000000.0,60013.0,336862.0,396875.0,34331.0,171618.0,205949.0,46316.0,182575.0,228891.0,66071.0,157167.0,223238.0,106329.0,519437.0,625766.0,100402.0,328785.0,429187.0,788.0,52060.0,52848.0,318.0,194.0,15069.0,15581.0,68429.0,138.0,180.0,118.0,670.0,68.8,16.6,14.6,78.1,16.6,5.3,0.0,0.0,0.0,1.0,0.0,0.0,7511.0,22259.0,29770.0,8174.0,2263.0,23240.0,33677.0,649972.0,202473.0,8895.0,861340.0,468402.0,187345.0,30.0,655777.0,143235.0,168008.0,99058.0,190483.0,2117901.0,29028.0,29528.0,25.33,2.72,0.495,0.795,269.71,6286.0,42769.0,146.97562,AAA,0.1494758,Virginia
WA,1988.0,12142.25,71593.0,41994.39,72362.78,71303.0,30019000.0,689000000.0,348000000.0,222494.0,192792.0,415286.0,9553.0,21089.0,30642.0,26177.0,234796.0,260973.0,7031.0,26629.0,33660.0,248671.0,427588.0,676259.0,16584.0,47718.0,64302.0,501.0,61709.0,62210.0,262.0,302.0,16654.0,17218.0,79428.0,158.0,104.0,96.0,405.0,64.9,24.6,10.5,70.0,25.6,4.4,0.0,0.0,0.0,0.0,0.0,0.0,3563.0,13129.0,16692.0,8350.0,3841.0,20503.0,32694.0,501683.0,332102.0,3923.0,837708.0,193795.0,267382.0,2431.0,463608.0,239299.0,173064.0,72751.0,95899.0,1882329.0,29721.0,30132.0,28.29,2.37,0.524,0.976,306.82,5018.0,71303.0,70.37572,AA,0.6784821,Washington
WV,1988.0,7562.87,23738.0,10902.86,37422.09,24231.0,9978000.0,258000000.0,193000000.0,18925.0,120989.0,139914.0,5204.0,59219.0,64423.0,37245.0,290280.0,327525.0,15215.0,65377.0,80592.0,56170.0,411269.0,467439.0,20419.0,124596.0,145015.0,456.0,31452.0,31908.0,94.0,9.0,3034.0,3137.0,35045.0,9.0,85.0,23.0,433.0,70.1,12.9,17.0,72.9,15.0,12.1,0.0,0.0,0.0,1.0,0.0,0.0,2979.0,8853.0,11832.0,1169.0,414.0,3063.0,4646.0,356770.0,13858.0,134.0,370762.0,161301.0,48540.0,41.0,209882.0,31528.0,38247.0,29209.0,41355.0,720983.0,23614.0,23939.0,26.51,3.04,0.535,0.961,305.65,1801.0,24231.0,74.32628,A1,0.06974371,West Virginia
WI,1988.0,10981.49,75299.0,26585.22,65617.75,65503.0,2703000.0,611000000.0,470000000.0,26875.0,205270.0,232145.0,1390.0,9528.0,10918.0,36422.0,381434.0,417856.0,4988.0,57700.0,62688.0,63297.0,586704.0,650001.0,6378.0,67228.0,73606.0,495.0,94892.0,95387.0,143.0,178.0,15270.0,15591.0,110978.0,56.0,87.0,50.0,445.0,77.0,9.7,13.3,76.5,14.2,9.3,0.0,0.0,0.0,0.0,1.0,0.0,4236.0,20781.0,25017.0,2988.0,2216.0,17407.0,22611.0,626822.0,384652.0,1.0,1011475.0,116788.0,423045.0,1569.0,541402.0,128447.0,261228.0,72021.0,135877.0,2150450.0,27228.0,27826.0,2.08,1.65,0.44,1.083,171.78,4955.0,65503.0,75.64539,AA,0.8810719,Wisconsin
WY,1988.0,3571.6,10511.0,6117.12,24963.6,97818.0,2105000.0,183000000.0,81656000.0,2778.0,22867.0,25645.0,791.0,1731.0,2522.0,39675.0,93466.0,133141.0,5815.0,21789.0,27604.0,42453.0,116333.0,158786.0,6606.0,23520.0,30126.0,827.0,34429.0,35256.0,87.0,3.0,2296.0,2386.0,37642.0,0.0,87.0,0.0,827.0,41.2,24.4,34.4,55.1,34.7,10.2,0.0,0.0,0.0,0.0,0.0,0.0,1746.0,2858.0,4604.0,261.0,8.0,1344.0,1613.0,127015.0,34114.0,12506.0,173635.0,52018.0,34989.0,900.0,87907.0,24522.0,23896.0,187.0,1159.0,311306.0,23275.0,23522.0,18.08,1.26,0.555,0.555,268.0,460.0,97818.0,4.702611,X,0.6891839,Wyoming
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75312436,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7742752,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75320244,
